Fecha,cuatro,indice
195,0.164712278,195
196,0.268532595,196
197,0.314910023,197
198,0.076045996,198
199,0.239411674,199
200,0.230781335,200
201,0.251660737,201
202,0.218366603,202
203,0.254633229,203
204,0.210653677,204
205,0.23201914,205
206,0.127272885,206
207,0.225900205,207
208,0.246096243,208
209,0.400870069,209
210,0.118293265,210
211,0.138725427,211
212,0.176381214,212
213,0.299786969,213
214,0.133721253,214
215,0.415757713,215
216,0.176156193,216
217,0.270733414,217
218,0.159915674,218
219,0.27545432,219
220,0.218434264,220
221,0.2694477,221
222,0.271631378,222
223,0.230022719,223
224,0.114079935,224
225,0.085459676,225
226,0.112616574,226
227,0.141206684,227
228,0.108724174,228
229,0.208146014,229
230,0.087007134,230
231,0.083222622,231
232,0.054100812,232
233,0.301502351,233
234,0.133032474,234
235,0.222066187,235
236,0.068426631,236
237,0.086143202,237
238,0.04682229,238
239,0.346996455,239
240,0.188651585,240
241,0.491471008,241
242,0.328595704,242
243,0.165867836,243
244,0.165376998,244
245,0.170031281,245
246,0.195734809,246
247,-0.029302505,247
248,0.078596839,248
249,0.16068642,249
250,0.066163281,250
251,0.029724436,251
252,0.149663992,252
253,0.1398969,253
254,-0.012789541,254
255,0.08704358,255
256,0.032377373,256
257,0.33089101,257
258,0.029458507,258
259,0.118784084,259
260,0.115162863,260
261,0.184439931,261
262,-0.010125144,262
263,0.305218412,263
264,0.2622059,264
265,0.208453158,265
266,0.234246423,266
267,0.222701023,267
268,0.124628555,268
269,0.238483009,269
270,-0.004834882,270
271,0.051146204,271
272,0.053352309,272
273,0.071050862,273
274,0.160461414,274
275,0.04029376,275
276,0.145842835,276
277,0.142820872,277
278,0.017699047,278
279,0.087914782,279
280,0.046084291,280
281,0.217157995,281
282,0.051325084,282
283,0.203697438,283
284,0.059494943,284
285,0.249237459,285
286,0.08707859,286
287,0.346586944,287
288,0.230681289,288
289,0.196622745,289
290,0.271183268,290
291,0.260328378,291
292,0.058030467,292
293,0.163382522,293
294,0.103692308,294
295,0.02796779,295
296,0.141522154,296
297,0.143205405,297
298,0.102944213,298
299,0.102340406,299
300,0.123901122,300
301,0.204884945,301
302,0.088808211,302
303,0.156062083,303
304,0.047618254,304
305,0.118503727,305
306,0.069307026,306
307,0.167823522,307
308,0.050380297,308
309,0.178270359,309
310,-0.302953941,310
311,0.258650828,311
312,0.028646637,312
313,0.177048152,313
314,0.465162694,314
315,0.243167942,315
316,0.065959512,316
317,0.255305218,317
318,0.024931253,318
319,0.050782344,319
320,0.033548708,320
321,0.142612405,321
322,0.075928056,322
323,0.070778037,323
324,0.039184586,324
325,0.035166439,325
326,-0.041579245,326
327,0.104721133,327
328,0.012911439,328
329,0.301638379,329
330,0.031539868,330
331,0.136054813,331
332,0.080398886,332
333,0.111524397,333
334,-0.032998955,334
335,0.304783436,335
336,0.078811185,336
337,0.69109392,337
338,0.241627346,338
339,0.118505618,339
340,0.084510482,340
341,0.107537018,341
342,0.129738494,342
343,0.262615822,343
344,-0.072929491,344
345,0.055680247,345
346,0.149256248,346
347,0.115748845,347
348,0.044129056,348
349,0.140171143,349
350,0.051285476,350
351,0.146982055,351
352,0.079186038,352
353,0.239091729,353
354,0.028365081,354
355,0.115766706,355
356,0.073080196,356
357,0.125435259,357
358,-0.001277824,358
359,0.209306998,359
360,0.046841559,360
361,-0.091748996,361
362,0.070835076,362
363,0.279307916,363
364,0.050193766,364
365,0.147353888,365
366,0.179198453,366
367,0.025752199,367
368,0.080717706,368
369,0.033913359,369
370,0.082945858,370
371,0.125615982,371
372,0.083519073,372
373,0.098874681,373
374,0.063724818,374
375,0.121620976,375
376,0.094408743,376
377,0.271355481,377
378,0.104076769,378
379,0.155951722,379
380,0.086614456,380
381,0.002055586,381
382,-0.020344842,382
383,0.271720487,383
384,0.088656304,384
385,0.078144134,385
386,0.140811055,386
387,0.226069407,387
388,0.123506919,388
389,0.300548979,389
390,-0.008459339,390
391,0.147103824,391
392,0.155103705,392
393,0.082736129,393
394,0.106738768,394
395,0.162623844,395
396,0.076459877,396
397,0.114520671,397
398,0.03582407,398
399,0.131059512,399
400,0.080862163,400
401,0.36179293,401
402,0.147277704,402
403,0.165636291,403
404,0.080314896,404
405,0.232176872,405
406,-0.095700954,406
407,0.467465866,407
408,0.053227479,408
409,0.366564112,409
410,0.369720348,410
411,0.462800361,411
412,0.230620501,412
413,0.312300452,413
414,0.288505773,414
415,0.264257001,415
416,0.081859231,416
417,0.151456557,417
418,0.165289362,418
419,0.170980749,419
420,0.101090758,420
421,0.185149603,421
422,0.064062328,422
423,0.198783306,423
424,0.045906509,424
425,0.27745286,425
426,-0.036374714,426
427,0.207590727,427
428,0.125982985,428
429,0.27943273,429
430,0.003453616,430
431,0.425050212,431
432,-0.015560513,432
433,0.168981839,433
434,0.244731429,434
435,0.297693428,435
436,0.135300152,436
437,0.235418167,437
438,0.053180843,438
439,0.070558267,439
440,0.100056194,440
441,0.127359431,441
442,0.158771265,442
443,0.079575263,443
444,0.144787154,444
445,0.188592933,445
446,0.051442557,446
447,0.175428095,447
448,0.089673567,448
449,0.188957105,449
450,0.179296238,450
451,0.169485068,451
452,0.101613325,452
453,0.191882156,453
454,0.017798374,454
455,0.421716705,455
456,0.072080449,456
457,0.081678855,457
458,0.162675022,458
459,0.255770309,459
460,0.188211287,460
461,0.178926963,461
462,0.142006649,462
463,0.396329721,463
464,-0.024190684,464
465,0.091719899,465
466,0.168589264,466
467,0.164875464,467
468,0.108378549,468
469,0.167668906,469
470,0.075369433,470
471,0.113621785,471
472,0.103708197,472
473,0.186926999,473
474,0.117999497,474
475,0.128484025,475
476,0.116921395,476
477,0.157852801,477
478,0.010240797,478
479,0.364455752,479
480,0.081352173,480
481,0.203350695,481
482,0.16387434,482
483,0.216161916,483
484,0.131249353,484
485,0.155704339,485
486,0.143954828,486
487,0.200589226,487
488,0.172128528,488
489,0.242492263,489
490,-0.059995384,490
491,0.294934445,491
492,0.205492739,492
493,0.247254102,493
494,0.091208899,494
495,0.180370318,495
496,0.181118838,496
497,0.165097768,497
498,0.11945341,498
499,0.144653494,499
500,0.069864384,500
501,-0.106764519,501
502,-0.02476993,502
503,0.521518328,503
504,0.076596102,504
